sim,ct,immigration.rate,res.inflow,N.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,starting.seed,flow.rate,height,length,width,total.abundance,ind.production,biomass.prod.N,resource.particles,resource.concentration,species.richness,simpson.e,e.var,avg.pop.size,pop.var,N.max,logmod.skew,Whittakers.turnover,amplitude,frequency,phase,all.biomass,active.biomass,dormant.biomass,all.avg.per.capita.growth,active.avg.per.capita.growth,dormant.avg.per.capita.growth,all.avg.per.capita.maint,active.avg.per.capita.maint,dormant.avg.per.capita.maint,all.avg.per.capita.efficiency,active.avg.per.capita.efficiency,dormant.avg.per.capita.efficiency,all.avg.per.capita.active.dispersal,active.avg.per.capita.active.dispersal,dormant.avg.per.capita.active.dispersal,all.avg.per.capita.rpf,active.avg.per.capita.rpf,dormant.avg.per.capita.rpf,all.avg.per.capita.mf,active.avg.per.capita.mf,dormant.avg.per.capita.mf,all.size,active.size,dormant.size,N.active,S.active,N.dormant,S.Dormant,Percent.Dormant,dorm.limit
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,300,0,0.0,8,0.125,3,0.4814,0.39445356048589786,100.0,10770.666666666666,246,0.22374691109880937,nan,0.1,0.1,0.1,10.975557303230708,11.10881002816512,4.4461737814445756,0.044646279112382253,0.044830349384019197,0.035626835802171797,0.0061342666522761387,0.0061232064496531636,0.0066762165808018333,0.0020740740740740737,0.0021164021164021165,0,0.092042744702201112,0.092015394664202041,0.093382896564155451,0.077225697343496574,0.076920860241737735,0.092162715329679581,2.1800000000000002,2.1836734693877551,2.0,0.04853310702694328,0.048496315859020062,0.050335874255180879,294,3,6,1,2.0,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,279,0,0.0,6,0.09375,3,0.4735,0.37631681210101819,93.0,9618.0,231,0.22413896875060643,0.0,0.1,0.1,0.1,11.085612472461982,11.18196978696653,4.4610471002743362,0.044328772687542109,0.044455346314965678,0.035626835802171797,0.0061586882521806,0.0061511605674006552,0.0066762165808018324,0.002007168458781362,0.0020363636363636361,0,0.09210566799408558,0.092087090123975479,0.093382896564155451,0.077837141642957061,0.077628769662059297,0.092162715329679595,2.172043010752688,2.1745454545454543,2.0,0.046872134016655027,0.047187831425950524,0.025167937127590443,275,3,4,1,1.4336917562724014,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,258,0,0.0,5,0.078125,3,0.468,0.35659606215215089,86.0,8408.6666666666661,215,0.22372669557529812,0.0,0.1,0.1,0.1,11.167542357832193,11.250093138027406,4.1507260412391753,0.044205019990295635,0.044257512988989216,0.039743115101341424,0.0061757085380995443,0.0061824743063332022,0.0056006182382385685,0.0019896640826873382,0.0020130718954248367,0,0.092152299068037624,0.092173731461404743,0.090330545631832848,0.07819566439586989,0.07826768469647756,0.07207393884421788,2.1666666666666665,2.164705882352941,2.3333333333333335,0.044374064501304426,0.043961175153795225,0.079469659039586735,255,3,3,2,1.1627906976744187,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,244,0,0.0,6,0.09375,3,0.4536,0.32441641381898756,81.33333333333333,7969.5555555555557,207,0.22475925905707589,0.0,0.1,0.1,0.1,11.181592043873923,11.181592043873923,nan,0.0435578969435289,0.0435578969435289,nan,0.0062215587933231228,0.0062215587933231228,nan,0.0018488160291438977,0.0018488160291438977,0,0.092268981127837491,0.092268981127837491,nan,0.079378990724500997,0.079378990724500997,nan,2.151639344262295,2.151639344262295,nan,0.041001012304615586,0.041001012304615586,nan,244,3,0,0,0.0,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,247,1,0.0,11,0.171875,3,0.4555,0.32347206506592019,82.33333333333333,8102.8888888888878,209,0.22416022411711617,0.0,0.1,0.1,0.1,11.688934557338769,11.807793097240019,4.4682782583377563,0.043717939648542585,0.043851126543133043,0.035626835802171797,0.0062151973648137491,0.0062076085711349318,0.0066762165808018324,0.0018893387314439941,0.0019204389574759943,0,0.092254793175704841,0.092236223572602763,0.093382896564155451,0.079166103089800183,0.078952167085851524,0.092162715329679595,2.1538461538461537,2.1563786008230452,2.0,0.039476046330736092,0.039366331569641227,0.046141218067249141,243,3,4,1,1.6194331983805668,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,257,4,0.0,12,0.1875,3,0.45,0.3154406520336811,85.66666666666667,8969.5555555555547,219,0.2249465629866659,0.0,0.1,0.1,0.1,12.884071027735123,13.05166754315546,4.4372066505500412,0.043403110705104019,0.04355740187381299,0.035626835802171797,0.0062331358557082264,0.006224344571480178,0.0066762165808018333,0.001815823605706874,0.0018518518518518517,0,0.092298688249185384,0.092277176179443907,0.093382896564155451,0.079671807846215706,0.079423972380273961,0.092162715329679595,2.1478599221789882,2.1507936507936507,2.0,0.036952555425377211,0.037352831827632181,0.016778624751726961,252,3,5,1,1.9455252918287937,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,260,0,0.0,11,0.171875,3,0.445,0.31162773942791655,86.66666666666667,9366.8888888888887,223,0.22588285284090764,0.0,0.1,0.1,0.1,13.205681785531425,13.342085732255896,4.4758291951650788,0.043069831642522295,0.043186128452527783,0.035626835802171797,0.0062495377340910417,0.0062428708771111868,0.0066762165808018324,0.0017350427350427348,0.0017621527777777776,0,0.09233752977007241,0.092321195913914869,0.093382896564155451,0.080165681469435063,0.07997822781536873,0.092162715329679595,2.1423076923076922,2.14453125,2.0,0.035582817300243923,0.035794705930143951,0.022021944986641638,256,3,4,1,1.5384615384615385,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,264,1,0.0,12,0.1875,3,0.4502,0.32841179902838935,88.0,9458.0,225,0.22594453916842758,0.0,0.1,0.1,0.1,13.390165386850066,13.527935037113778,4.4351381197088546,0.043243697498956228,0.043360879986599064,0.035626835802171797,0.0062326614998293077,0.0062258375755066524,0.0066762165808018324,0.0017676767676767676,0.0017948717948717947,0,0.092292750390881695,0.092275978911292855,0.093382896564155451,0.079774724599730326,0.079584140126961883,0.092162715329679595,2.1477272727272729,2.1499999999999999,2.0,0.034551129379687635,0.034695486183566049,0.02516793712759044,260,3,4,1,1.5151515151515151,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,277,6,-9.094947017729282e-13,15,0.234375,3,0.4542,0.35264768246989908,92.33333333333333,10243.555555555557,235,0.22697455004331693,0.0,0.1,0.1,0.1,13.729808832491054,13.831676243105415,4.4259186630461294,0.043203994268989694,0.043286955858042445,0.035626835802171797,0.0062195834485405414,0.0062145838157055639,0.0066762165808018324,0.0017408744484556757,0.0017599351175993508,0,0.092253081164069051,0.092240710922462277,0.093382896564155451,0.07959269139030771,0.079455063390971511,0.092162715329679609,2.151624548736462,2.1532846715328469,2.0,0.032626732969237911,0.032126657977936943,0.078300248841392486,274,3,3,1,1.083032490974729,0.1
1,10,0.0,10,0,100.0,0.1,0.1,0.1,1000,0.07017038286703829,4.0,4.0,4,283,0,0.0,12,0.1875,3,0.4544,0.34967659393877415,94.33333333333333,10682.888888888891,240,0.22667132022961173,0.0,0.1,0.1,0.1,14.269938948639268,14.591362318140733,4.4843830327057681,0.043267106568500448,0.04351806436739445,0.035626835802171797,0.0062188928216476667,0.0062038712383177853,0.0066762165808018324,0.0017589320769532779,0.0018167072181670717,0,0.092252843432319237,0.092215724898791762,0.093382896564155451,0.079537870627232068,0.079123185947224658,0.092162715329679595,2.1519434628975267,2.1569343065693429,2.0,0.031104962141182763,0.031583189749208561,0.016545588296841864,274,3,9,1,3.180212014134275,0.1
