sim,ct,immigration.rate,res.inflow,N.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,starting.seed,flow.rate,height,length,total.abundance,ind.production,biomass.prod.N,resource.particles,resource.concentration,species.richness,simpson.e,e.var,avg.pop.size,pop.var,N.max,logmod.skew,Whittakers.turnover,amplitude,frequency,phase,all.biomass,active.biomass,dormant.biomass,all.avg.per.capita.growth,active.avg.per.capita.growth,dormant.avg.per.capita.growth,all.avg.per.capita.maint,active.avg.per.capita.maint,dormant.avg.per.capita.maint,all.avg.per.capita.efficiency,active.avg.per.capita.efficiency,dormant.avg.per.capita.efficiency,all.avg.per.capita.active.dispersal,active.avg.per.capita.active.dispersal,dormant.avg.per.capita.active.dispersal,all.avg.per.capita.rpf,active.avg.per.capita.rpf,dormant.avg.per.capita.rpf,all.avg.per.capita.mf,active.avg.per.capita.mf,dormant.avg.per.capita.mf,all.size,active.size,dormant.size,N.active,S.active,N.dormant,S.Dormant,Percent.Dormant,dorm.limit
0,1050,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1679,13,13,0,0.0,11,0.1228,0.10164133036586609,152.63636363636363,166378.95867768602,1436,0.57923834058736667,nan,0,0,0,0.012195433759145042,0.0075377411538286717,0.015280578663062518,0.018541208510807282,0.018453957052759679,0.018599001803316046,0.0018722873248776895,0.0019034539348430418,0.0018516433030293521,0.0045984726561504588,0.004796512615229149,0.0044672956931567512,0.0111886246957276,0.011136343418187773,0.011223254571642589,0.0041896682143848975,0.0042384953236732333,0.0041573262974404449,0.23364636638306296,0.23408250629683999,0.2333574776678978,389.6411156311471,640.26957191054203,223.63078171934984,669,5,1010,10,60.154854079809404,1
0,1100,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1451,8,8,0,0.0,8,0.1502,0.096201293724081816,181.375,186072.734375,1319,0.51053675836568246,0.31578947368421051,0,0,0,0.014688272013276969,0.013119841132202588,0.015697183384115306,0.018579177772088118,0.018546231344542634,0.018600370944053958,0.0018649594772410676,0.0018726667199220109,0.0018600017039196903,0.002942572793094849,0.0028898040576208115,0.0029765168947361318,0.010942537246750008,0.010884479946896435,0.010979883278818898,0.0034990979461592829,0.0034984786057338426,0.0034994963440773469,0.20125794119225984,0.20144225761902426,0.20113937751117011,381.10666309766526,546.57952957992347,274.66432089843238,568,3,883,8,60.85458304617505,1
0,1150,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1318,13,13,0,0.0,6,0.1985,0.092229117600539645,219.66666666666666,194891.88888888891,1204,0.44195511654700093,0.2857142857142857,0,0,0,0.045281088960976476,0.090264017392087503,0.01724985523420039,0.018590010533468818,0.018571018532455127,0.01860184545035666,0.0018607238554045034,0.0018809330631516347,0.0018481304328428669,0.0028560445854738602,0.0030346621501006798,0.0027447385661374434,0.010925580238758005,0.010930923955418254,0.01092225028724312,0.0034940313574480094,0.0035168253022348221,0.0034798272489971133,0.20186198096343369,0.20105650183988677,0.20236391746160454,484.63744468293476,758.18643019575939,314.17465321804667,506,4,812,5,61.60849772382397,1
0,1200,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1789,18,18,0,0.0,7,0.169,0.090948534750309729,255.57142857142858,321213.38775510201,1640,0.47977642116154745,0.15384615384615385,0,0,0,0.018222292106211586,0.015974937901657264,0.021032191577063149,0.018614734575774897,0.018649135306863698,0.018571722844073931,0.0018608488708750572,0.0018627715193554604,0.0018584449556681131,0.0028687806148528128,0.0028824802363690994,0.0028516517799003728,0.010927192706845151,0.010914899618526305,0.010942562932994754,0.0035039899316804996,0.0035218438662350839,0.0034816668990424399,0.20252462033304552,0.2037544574996922,0.20098693713348975,590.79999934524074,738.28616441903591,406.39591370580354,994,4,795,6,44.438233650083845,1
0,1250,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1323,15,15,0,0.0,6,0.2,0.085543933977203945,220.5,194443.25,1203,0.44110949673250111,0.15384615384615385,0,0,0,0.014996065444268743,0.0096041261533850609,0.018554610070372655,0.018545714291245168,0.018535294189520716,0.018552591296900203,0.0018726604588416341,0.0018826672119196177,0.0018660562529206563,0.0028933853384013851,0.0028690368202554804,0.0029094547493734623,0.01088734056635577,0.01080613509689651,0.010940934138420478,0.003498001106801272,0.0035165187346685922,0.0034857799370920988,0.20136454013109226,0.20278782356837136,0.20042520877850906,555.54098533452225,702.87313365085038,458.30546461383403,526,2,797,6,60.24187452758881,1
0,1300,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1448,13,13,0,0.0,6,0.1977,0.083593332495788042,241.33333333333334,236330.88888888888,1325,0.44165598524817806,0.0,0,0,0,0.029642856084925041,0.043656731257818902,0.01688616232595834,0.018564381170360428,0.018566219359267035,0.01856270788494413,0.0018666685889993362,0.001870816058022456,0.0018628931884373929,0.0028233213077109289,0.0027712945890773864,0.0028706807217704867,0.010869271468269652,0.010802572404727808,0.010929986974659984,0.0034979719546640604,0.0035111258194547574,0.0034859981199601283,0.20233586372097714,0.20382921740603877,0.20097647844038019,557.97508743925221,692.1913300568192,435.79935207497613,690,3,758,6,52.348066298342545,1
0,1350,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1423,8,8,0,0.0,7,0.1662,0.089627377503603167,203.28571428571428,207287.06122448985,1316,0.4803762271050584,0.15384615384615385,0,0,0,0.014451045886737795,0.011663928462912504,0.016684267822537048,0.018606144017608288,0.018627103090744144,0.018589350228627285,0.0018519336247572618,0.0018482850758034463,0.0018548570823367118,0.0026792336775519881,0.0025712361776639987,0.0027657683831584395,0.010847065091177988,0.010784583339092556,0.010897129583671757,0.0034942144278674279,0.0035027327701704519,0.0034873889713132331,0.20411672512232834,0.20611574447794981,0.20251497923358353,679.57590784749823,937.06500378151804,473.25869553580878,633,5,790,5,55.516514406184115,1
0,1400,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1024,4,4,1,0.00041649312786339027,5,0.2392,0.091759109126578031,204.8,133369.76000000001,933,0.3941175724523891,0.33333333333333331,0,0,0,0.040642763905421347,0.10005426066326946,0.015675102993315964,0.018562390550944691,0.018546815411269898,0.018568935997992489,0.0018649615744742677,0.0018693799534646313,0.0018631047522355989,0.0028531396013575282,0.0029171341874376557,0.0028262458987468788,0.010903346160095379,0.010926385207236343,0.010893664008522964,0.0034914599363738909,0.0034898705310553273,0.0034921278834079061,0.20154014887396748,0.2005582683895635,0.2019527838070804,605.9299881701852,787.54445441184771,529.60657170524257,303,4,721,4,70.41015625,1
0,1450,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1309,19,19,2,0.0008329862557267805,5,0.2343,0.093911269045955592,261.8,223957.36000000002,1206,0.39486858214198151,0.0,0,0,0,0.026646042488773766,0.033930840760306634,0.019460733116245136,0.018590278488353932,0.018597585412523546,0.018583071355257955,0.0018575133079364882,0.0018543733130972316,0.0018606104196899275,0.0027341440620656048,0.002714286853694018,0.0027537300794275637,0.010855748785237972,0.010859563850909365,0.01085198582213265,0.0034955917204217016,0.0034933737310307153,0.0034977794186070448,0.20343485295684735,0.20358065026282021,0.20329104681286805,710.62344947996098,827.4890447776263,595.35389417877354,650,4,659,4,50.34377387318564,1
0,1500,1,10,3,1,1,1,1,500,0.004465890604974602,49,49,1875,23,23,0,0.0,5,0.2302,0.095219695640382129,375.0,470227.20000000001,1744,0.39564699838489853,0.0,0,0,0,0.021394887289724097,0.017878153553577695,0.026973154595335631,0.018622453198817647,0.018652086204658365,0.018575449120587548,0.0018476436699908407,0.001837480159261169,0.0018637651008034232,0.0026090162388472948,0.0025039992143561325,0.0027755949673505193,0.010818326889536552,0.010798572364923676,0.010849661652715593,0.0034968136882439957,0.0034949577388130376,0.0034997576080310331,0.20524420478163699,0.20659389615486173,0.20310331501721149,825.99938131945362,953.93530702283624,623.06653365201907,1150,4,725,5,38.666666666666664,1
